['SJR', 'H Index'];0.2732945123926125;0.1478430210862668
['SJR', 'Total Docs.'];0.35383089812458507;0.27961723699721897
['SJR', 'Total Docs(3years)'];0.3400308319733861;0.21532452586210654
['SJR', 'Total Refs.'];0.3443974878271037;0.22787726760305888
['SJR', 'Total Cites'];0.3735984460633648;0.24890542727021953
['SJR', 'Citable Docs.'];0.33655359259523454;0.21253232561949142
['SJR', 'Cites/Docs.'];0.18535563330154617;0.08635743545402964
['SJR', 'Ref./Docs.'];0.4288374387271226;0.2731848593976274
['H Index', 'Total Docs.'];0.4226561219267226;0.32001435397846667
['H Index', 'Total Docs(3years)'];0.4401884056356974;0.35067798828398083
['H Index', 'Total Refs.'];0.4180130450033944;0.31741785761527136
['H Index', 'Total Cites'];0.3995906571698387;0.29233666978829076
['H Index', 'Citable Docs.'];0.4463069123202928;0.3594938448153138
['H Index', 'Cites/Docs.'];0.20525739545605654;0.10639803534120756
['H Index', 'Ref./Docs.'];0.7799690667434634;0.893519083681487
['Total Docs.', 'Total Docs(3years)'];0.6677887280214161;1.174441025760279
['Total Docs.', 'Total Refs.'];0.7155383815501065;2.3580740397397504
['Total Docs.', 'Total Cites'];0.652497082023804;0.5763608250329924
['Total Docs.', 'Citable Docs.'];0.6662646032258086;1.1717012763721193
['Total Docs.', 'Cites/Docs.'];0.20342596861299567;0.10218514909650651
['Total Docs.', 'Ref./Docs.'];1.1289525612923483;1.8033145631437106
['Total Docs(3years)', 'Total Refs.'];0.6969460903947459;1.2781115515647814
['Total Docs(3years)', 'Total Cites'];0.6438056527658864;0.5550185584196896
['Total Docs(3years)', 'Citable Docs.'];0.6733123578188625;1.3456813512034236
['Total Docs(3years)', 'Cites/Docs.'];0.20545637771707778;0.10163093542605968
['Total Docs(3years)', 'Ref./Docs.'];1.1321102459329047;1.738058104730706
['Total Refs.', 'Total Cites'];0.6839147607415053;0.6053010587035786
['Total Refs.', 'Citable Docs.'];0.6879436158688285;1.187528716029002
['Total Refs.', 'Cites/Docs.'];0.20045065654972338;0.10303575056174867
['Total Refs.', 'Ref./Docs.'];1.1087732229897633;1.7179846742453966
['Total Cites', 'Citable Docs.'];0.6835511932743354;0.6020625047783279
['Total Cites', 'Cites/Docs.'];0.19658926418197403;0.09985124735290736
['Total Cites', 'Ref./Docs.'];0.8906829176764167;1.1403749497214168
['Citable Docs.', 'Cites/Docs.'];0.20518530086357487;0.10165142937527964
['Citable Docs.', 'Ref./Docs.'];1.1318908336079283;1.735255706988911
['Cites/Docs.', 'Ref./Docs.'];0.19282819980461077;0.09834754849824703
['SJR', 'H Index', 'Total Docs.'];0.27175926607383305;0.14331002072047982
['SJR', 'H Index', 'Total Docs(3years)'];0.26998310171332496;0.1435648390447605
['SJR', 'H Index', 'Total Refs.'];0.2651892315030656;0.14203261249822816
['SJR', 'H Index', 'Total Cites'];0.2698587087319267;0.14499234447319823
['SJR', 'H Index', 'Citable Docs.'];0.2728827028899731;0.14727641966171887
['SJR', 'H Index', 'Cites/Docs.'];0.18466842834826125;0.08625352945949277
['SJR', 'H Index', 'Ref./Docs.'];0.35694574258933776;0.20037342818195247
['SJR', 'Total Docs.', 'Total Docs(3years)'];0.34641939705062674;0.2507175349877542
['SJR', 'Total Docs.', 'Total Refs.'];0.3657099464080423;0.3556253596608123
['SJR', 'Total Docs.', 'Total Cites'];0.35435998560792253;0.23285058060331545
['SJR', 'Total Docs.', 'Citable Docs.'];0.3487028409563009;0.2622129565837634
['SJR', 'Total Docs.', 'Cites/Docs.'];0.18135509121291377;0.08205663466424874
['SJR', 'Total Docs.', 'Ref./Docs.'];0.4205321639785974;0.27315418525234
['SJR', 'Total Docs(3years)', 'Total Refs.'];0.34172206280971834;0.21653884996511463
['SJR', 'Total Docs(3years)', 'Total Cites'];0.357772602013431;0.23486838408793356
['SJR', 'Total Docs(3years)', 'Citable Docs.'];0.35271782344707503;0.24804383086866486
['SJR', 'Total Docs(3years)', 'Cites/Docs.'];0.18359230813870503;0.08209485373978266
['SJR', 'Total Docs(3years)', 'Ref./Docs.'];0.42110744655022553;0.2512646647159997
['SJR', 'Total Refs.', 'Total Cites'];0.3734705590994076;0.24881289111784813
['SJR', 'Total Refs.', 'Citable Docs.'];0.3359976797004073;0.21196060159454191
['SJR', 'Total Refs.', 'Cites/Docs.'];0.18196132970874979;0.08417425844330342
['SJR', 'Total Refs.', 'Ref./Docs.'];0.4013913256644812;0.23951642751353858
['SJR', 'Total Cites', 'Citable Docs.'];0.38649635344844985;0.25990127857031364
['SJR', 'Total Cites', 'Cites/Docs.'];0.1827160435140444;0.08380937372080173
['SJR', 'Total Cites', 'Ref./Docs.'];0.3836296279719273;0.2210368144956188
['SJR', 'Citable Docs.', 'Cites/Docs.'];0.18334345744561956;0.08247329224619515
['SJR', 'Citable Docs.', 'Ref./Docs.'];0.4184558443547266;0.24939091760453477
['SJR', 'Cites/Docs.', 'Ref./Docs.'];0.19191787467884977;0.08907721233349733
['H Index', 'Total Docs.', 'Total Docs(3years)'];0.46830261457450406;0.41355586746117384
['H Index', 'Total Docs.', 'Total Refs.'];0.41753299819208184;0.3173679664146419
['H Index', 'Total Docs.', 'Total Cites'];0.3977381708368021;0.2904996137014851
['H Index', 'Total Docs.', 'Citable Docs.'];0.48088520789430483;0.4418559603472728
['H Index', 'Total Docs.', 'Cites/Docs.'];0.20418385726020694;0.10291543359194354
['H Index', 'Total Docs.', 'Ref./Docs.'];0.7885894261522987;0.8945352077638944
